Tiempo_min,Voltaje_V,Corriente_A,mAh_Consumidos


0.54,8.37,0.99,0.00


0.56,7.70,1.20,0.34


0.57,7.73,1.12,0.66


0.59,7.74,1.20,0.99


0.61,7.79,1.12,1.31


0.62,7.74,1.07,1.61


0.64,7.76,1.20,1.95


0.66,7.77,1.15,2.28


0.68,7.77,1.15,2.60


0.69,7.79,1.07,2.90


0.71,7.79,1.12,3.22


0.73,7.80,1.02,3.51


0.74,7.80,1.02,3.79


0.76,7.79,1.15,4.12


0.78,7.77,0.91,4.38


0.79,7.78,1.02,4.66


0.81,7.80,1.12,4.98


0.83,7.76,1.20,5.32


0.84,7.82,1.07,5.62


0.86,7.80,0.96,5.89


0.88,7.81,0.86,6.14


0.90,7.82,1.07,6.44


0.91,7.78,1.10,6.75


0.93,7.80,0.94,7.01


0.95,7.82,1.02,7.30


0.96,7.80,0.99,7.58


0.98,7.81,1.07,7.88


1.00,7.82,1.02,8.17


1.01,7.83,0.91,8.43


1.03,7.81,1.04,8.72


1.05,7.80,0.99,9.00


1.06,7.84,0.86,9.24


1.08,7.81,0.89,9.49


1.10,7.82,1.04,9.79


1.12,7.81,1.04,10.08


1.13,7.84,0.86,10.32


1.15,7.82,0.91,10.58


1.17,7.83,0.99,10.86


1.18,7.80,0.81,11.09


1.20,7.80,0.86,11.33


1.22,7.82,0.99,11.61


1.23,7.84,0.94,11.87


1.25,7.84,0.99,12.15


1.27,7.82,1.04,12.45


1.28,7.81,0.94,12.71


1.30,7.83,0.94,12.98


1.32,7.84,0.94,13.24


1.34,7.83,1.12,13.56


1.35,7.81,0.94,13.82


1.37,7.84,0.81,14.05


1.39,7.82,1.07,14.35


1.40,7.82,1.10,14.66


1.42,7.84,0.96,14.94


1.44,7.81,0.83,15.17


1.45,7.82,0.91,15.43


1.47,7.81,0.89,15.68


1.49,7.82,1.02,15.96


1.50,7.81,1.12,16.28


1.52,7.82,1.02,16.57


1.54,7.82,0.75,16.78


1.56,7.84,0.91,17.04


1.57,7.82,0.96,17.31


1.59,7.82,0.99,17.59


1.61,7.83,0.99,17.87


1.62,7.80,0.94,18.13


1.64,7.84,1.07,18.44


1.66,7.77,0.91,18.69


1.67,7.80,0.96,18.96


1.69,7.80,0.94,19.23


1.71,7.80,0.86,19.47


1.72,7.79,0.96,19.74


1.74,7.79,0.86,19.99


1.76,7.82,0.91,20.24


1.78,7.80,1.02,20.53


1.79,7.76,0.91,20.79


1.81,7.78,0.94,21.05


1.83,7.80,1.07,21.35


1.84,7.80,0.73,21.56


1.86,7.78,0.94,21.82


1.88,7.79,0.83,22.06


1.89,7.80,0.91,22.32


1.91,7.83,0.83,22.55


1.93,7.80,1.10,22.86


1.94,7.81,0.94,23.13


1.96,7.78,0.83,23.36


1.98,7.80,0.89,23.61


2.00,7.82,1.04,23.90


